"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
52, 4.630267647078762e-01, 4.609857908121840e-02, 7.097324874373290e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.131438216677459e+03, 2.052575286670984e+03, 1.684857334483237e+03, 0.000000000000000e+00, -4.771788115389364e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.333030401740872e-07, -1.528860634487792e-03, 4.842478876281090e-04, -0.000000000000000e+00, 0.000000000000000e+00
53, 4.643129778021007e-01, 4.568404173310317e-02, 7.098492243486634e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.133373539118284e+03, 2.053349415647313e+03, 1.685215594070445e+03, 0.000000000000000e+00, -4.713722700388328e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.334103223020665e-07, -1.554156314118845e-03, 5.093906267263780e-04, -0.000000000000000e+00, 0.000000000000000e+00
54, 4.655906891150261e-01, 4.525822663483170e-02, 7.100275183215511e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.135671006194295e+03, 2.054268402477718e+03, 1.685546459343718e+03, 0.000000000000000e+00, -4.644791871909464e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.335093899553324e-07, -1.458274577790510e-03, 4.938807494686485e-04, -0.000000000000000e+00, 0.000000000000000e+00
55, 4.668586206883923e-01, 4.482189681491767e-02, 7.100818841389601e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.136442219905170e+03, 2.054576887962067e+03, 1.685670505131113e+03, 0.000000000000000e+00, -4.621653172521827e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.335465289764841e-07, -1.365277662721578e-03, 4.771395964882273e-04, -0.000000000000000e+00, 0.000000000000000e+00
56, 4.681155185438325e-01, 4.437584488366405e-02, 7.104599662984829e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.139858620567904e+03, 2.055943448227161e+03, 1.685894042724439e+03, 0.000000000000000e+00, -4.519151016753407e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.336134518163728e-07, -1.084459943961650e-03, 3.906022670032594e-04, -0.000000000000000e+00, 0.000000000000000e+00
57, 4.693601536699123e-01, 4.392089124158528e-02, 7.103858809630726e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.138663693561059e+03, 2.055465477424423e+03, 1.685677881016852e+03, 0.000000000000000e+00, -4.555002372106294e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.335487372521956e-07, -8.094919163630962e-04, 3.001381267020863e-04, -0.000000000000000e+00, 0.000000000000000e+00
58, 4.705913229350309e-01, 4.345788229869642e-02, 7.104821933187122e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.139752490394258e+03, 2.055900996157703e+03, 1.685806490485056e+03, 0.000000000000000e+00, -4.522335236833191e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.335872409479805e-07, -6.387476856375516e-04, 2.435273404911869e-04, -0.000000000000000e+00, 0.000000000000000e+00
59, 4.718078499326996e-01, 4.298768870385425e-02, 7.102921997059836e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.138917826512466e+03, 2.055567130604986e+03, 1.685983583321711e+03, 0.000000000000000e+00, -4.547377629594325e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.336402571726827e-07, -4.841820256997946e-04, 1.896214235670670e-04, -0.000000000000000e+00, 0.000000000000000e+00
60, 4.730085857651005e-01, 4.251120358151130e-02, 7.098391867348925e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.136379203205733e+03, 2.054551681282293e+03, 1.686226156113793e+03, 0.000000000000000e+00, -4.623543860464888e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.337128711364621e-07, -7.014687792870775e-04, 2.819183413281201e-04, -0.000000000000000e+00, 0.000000000000000e+00
61, 4.741924097700473e-01, 4.202934077163985e-02, 7.097818062901008e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.137657729619434e+03, 2.055063091847773e+03, 1.686782237056398e+03, 0.000000000000000e+00, -4.585184274880959e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.338793118121548e-07, -1.003810613591093e-03, 4.136199611322797e-04, -0.000000000000000e+00, 0.000000000000000e+00
62, 4.753582301955655e-01, 4.154303306722795e-02, 7.094733243815792e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.136852736556832e+03, 2.054741094622732e+03, 1.687251248769494e+03, 0.000000000000000e+00, -4.609336455038096e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.340196683087096e-07, -1.282349304854399e-03, 5.412643360337587e-04, -0.000000000000000e+00, 0.000000000000000e+00
63, 4.765049848253149e-01, 4.105323044266852e-02, 7.098662195606884e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.141672882626089e+03, 2.056669153050435e+03, 1.687899742154110e+03, 0.000000000000000e+00, -4.464717772397352e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.342137011448498e-07, -1.296036957728038e-03, 5.598999908216406e-04, -0.000000000000000e+00, 0.000000000000000e+00
