"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
222, 6.783100974750701e-01, 1.369851182269923e-01, 7.112027948084510e-04, 5.798855383526668e-01, 1.098009239685868e-01, 5.212749879228030e+03, 1.987146601946929e+03, 1.627778006089703e+03, 4.195808672371838e-01, -9.681056206063102e-01, 8.153589139210960e+02, 1.543876441010888e+02
223, 6.793028572085218e-01, 1.371621109824350e-01, 7.118602241938168e-04, 5.801852596890269e-01, 9.692569305515919e-02, 5.217133206671384e+03, 1.989640511460132e+03, 1.628315700484163e+03, 4.177296850612999e-01, -9.493996542546059e-01, 8.150269392366851e+02, 1.361583211998223e+02
224, 6.803284281312175e-01, 1.373223003501067e-01, 7.125205716366835e-04, 5.802978644426268e-01, 8.423788283817814e-02, 5.221571902067713e+03, 1.992114597989115e+03, 1.628829523795211e+03, 4.159674514345407e-01, -9.308423733599517e-01, 8.144296284802882e+02, 1.182251940385116e+02
225, 6.813854569119479e-01, 1.374644277762156e-01, 7.130718901766983e-04, 5.803588020224331e-01, 7.172197711202133e-02, 5.225303126706547e+03, 1.994209355740011e+03, 1.629281608521516e+03, 4.144497150441641e-01, -9.151303085092508e-01, 8.138854020435735e+02, 1.005816918322902e+02
226, 6.824725301157376e-01, 1.375872730410071e-01, 7.134475584946069e-04, 5.801979090224433e-01, 5.932673848521712e-02, 5.227829640345072e+03, 1.995778169245881e+03, 1.629704760186886e+03, 4.130794550158064e-01, -9.033631724132730e-01, 8.132313330031939e+02, 8.315500947315329e+01
227, 6.835881771487785e-01, 1.376896616238638e-01, 7.139997121688930e-04, 5.798494887315127e-01, 4.703789472219821e-02, 5.231633069025042e+03, 1.997852631096040e+03, 1.630137115098315e+03, 4.116658055213936e-01, -8.878033402054364e-01, 8.121144572595462e+02, 6.587943093045902e+01
228, 6.847308735999329e-01, 1.377704718281415e-01, 7.145466447387965e-04, 5.790051329523859e-01, 3.482247164641817e-02, 5.235327687486087e+03, 1.999956803519192e+03, 1.630604939817196e+03, 4.100877639466980e-01, -8.720206591028234e-01, 8.103111773256483e+02, 4.873365777142173e+01
229, 6.858990449718645e-01, 1.378286416167313e-01, 7.150963810605208e-04, 5.773333904738790e-01, 2.267636804043990e-02, 5.238908078911592e+03, 2.002197338444471e+03, 1.631176747417956e+03, 4.080953745818412e-01, -8.552151692884566e-01, 8.073504575951944e+02, 3.171092546547335e+01
230, 6.870910707885338e-01, 1.378631751101270e-01, 7.158041903580942e-04, 5.753692339891449e-01, 1.064231456453533e-02, 5.243611000434400e+03, 2.004915460348784e+03, 1.631776035445042e+03, 4.059866425550666e-01, -8.348274621111351e-01, 8.038081387890533e+02, 1.486763378573031e+01
231, 6.883052890592394e-01, 1.378731487001556e-01, 7.164281874157223e-04, 5.734718629488584e-01, -1.278200862083459e-03, 5.247786285163828e+03, 2.007305839541494e+03, 1.632298591335843e+03, 4.041625500022158e-01, -8.168980414525587e-01, 8.004596594914397e+02, -1.784129776766805e+00
232, 6.895400010727119e-01, 1.378577167345681e-01, 7.168332479833439e-04, 5.712896600664976e-01, -1.309458210388792e-02, 5.250386621686661e+03, 2.009047450536735e+03, 1.632791670169249e+03, 4.024410121667876e-01, -8.038348102076991e-01, 7.969631175363282e+02, -1.826726388700120e+01
233, 6.907934764881071e-01, 1.378161167304655e-01, 7.173638743400270e-04, 5.687177144397066e-01, -2.479566527496609e-02, 5.253842936553187e+03, 2.011191207860101e+03, 1.633324895944721e+03, 4.005425774958020e-01, -7.877552162429582e-01, 7.927883390600419e+02, -3.456497624413836e+01
234, 6.920639586832755e-01, 1.377476740780959e-01, 7.180801867214937e-04, 5.658144468746933e-01, -3.637019634860050e-02, 5.258603764166623e+03, 2.013905884041363e+03, 1.633898030653928e+03, 3.984733908669773e-01, -7.673933542613479e-01, 7.879544058415074e+02, -5.064921302821941e+01
